,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.033146,0.219083,0.0844477,0.126667
5,5,0.114645,0.178441,0.0184477,0.0276705
5,5,0.147284,0.178285,-0.0196793,-0.0295181
5,5,0.14424,0.0517337,0.0519995,0.0779967
5,5,0.145663,0.0795798,0.0350888,0.0526316
5,5,0.135006,0.12805,0.0198106,0.029715
5,5,0.13383,0.146319,0.00471809,0.00707693
5,5,0.136161,0.135363,0.0128922,0.0193377
5,5,0.145888,0.0655551,0.0503118,0.0754652
5,5,0.139521,0.142253,0.00784226,0.0117631
5,5,0.135082,0.0740218,0.0464204,0.0696285
5,5,0.141537,0.0662564,0.0460246,0.0690348
5,5,0.144746,0.0306704,0.0710028,0.106501
5,5,0.1364,0.130997,0.0156635,0.0234946
5,5,0.146939,0.152751,-0.0105175,-0.0157758
5,5,0.137134,0.146895,0.00344777,0.00517153
5,5,0.134913,0.12899,0.0205027,0.0307532
5,5,0.134775,0.157939,0.0234023,0.0351023
5,5,0.129081,0.156893,0.00494035,0.00741031
5,5,0.134166,0.146734,0.00955297,0.014329
5,5,0.134568,0.167037,0.0109353,0.0164026
5,5,0.143034,0.151764,-0.000381367,-0.000572036
5,5,0.14212,0.139606,0.00483092,0.00724618
5,5,0.132153,0.138722,0.0135626,0.0203434
5,5,0.134518,0.143135,0.00687654,0.0103145
5,5,0.139877,0.153757,-0.00196117,-0.00294168
5,5,0.151057,0.121914,0.00120539,0.00180803
5,5,0.136319,0.170841,0.00874267,0.0131136
5,5,0.135931,0.131686,0.0277529,0.0416279
5,5,0.138982,0.142231,0.00671841,0.0100773
5,5,0.130396,0.146823,0.0152858,0.022928
5,5,0.150641,0.0940041,0.0267411,0.0401105
5,5,0.155746,0.0202132,0.0708973,0.106342
5,5,0.153535,0.0436246,0.0586707,0.0880031
5,5,0.155487,0.0937827,0.00946445,0.0141963
5,5,0.150515,0.0932526,0.0144979,0.0217463
5,5,0.15673,0.0972963,0.0154692,0.023203
5,5,0.149515,0.0390102,0.0631265,0.0946865
5,5,0.167555,0.101303,0.00649594,0.00974361
5,5,0.14949,0.0951877,0.033012,0.0495166
5,5,0.15524,0.0886556,0.0186438,0.0279648
5,5,0.151956,0.0969436,0.0262624,0.0393924
5,5,0.162418,0.0992366,0.0191551,0.0287317
5,5,0.146526,0.0445612,0.0751462,0.112715
5,5,0.148742,0.0653353,0.0740543,0.111077
5,5,0.140869,0.113709,0.0200174,0.030025
5,5,0.150243,0.112339,0.0203387,0.030507
5,5,0.141142,0.0751199,0.0544491,0.0816703
5,5,0.152012,0.128692,0.0179845,0.0269758
5,5,0.148866,0.126159,0.024314,0.0364695
5,5,0.14812,0.115919,0.0356497,0.0534724
5,5,0.145261,0.117505,0.013729,0.0205928
5,5,0.152874,0.121967,0.00774969,0.0116241
5,5,0.147121,0.0833453,0.0301424,0.0452121
5,5,0.145242,0.0872384,0.0319844,0.047975
5,5,0.153916,0.068569,0.0327381,0.0491057
5,5,0.141777,0.0,0.0957213,0.143577
5,5,0.149568,0.043839,0.0577156,0.0865706
5,5,0.1492,0.0552832,0.0513804,0.0770682
5,5,0.153455,0.0791744,0.0254322,0.0381472
5,5,0.14777,0.0677322,0.0344622,0.0516918
5,5,0.148321,-0.000510638,0.112506,0.168752
5,5,0.151575,0.105031,0.0109243,0.016386
5,5,0.140152,0.0795565,0.043514,0.0652691
5,5,0.144142,0.087523,0.033172,0.0497566
5,5,0.148245,0.0965881,0.0278161,0.0417229
5,5,0.146921,0.101638,0.0160489,0.0240726
5,5,0.14663,0.0956812,0.0185316,0.0277966
5,5,0.142379,0.101562,0.0209878,0.0314807
5,5,0.13921,0.152165,-0.00135398,-0.00203091
5,5,0.138345,0.169336,-0.00243929,-0.00365884
5,5,0.128064,0.187059,-0.00240806,-0.00361199
5,5,0.136769,0.171427,-0.00504551,-0.00756807
5,5,0.135325,0.163974,0.00154639,0.00231953
5,5,0.138793,0.185346,-0.0155135,-0.0232696
5,5,0.134864,0.148917,0.0103548,0.0155317
5,5,0.13977,0.202093,-0.0209659,-0.031448
5,5,0.135449,0.183872,-0.01297,-0.0194545
5,5,0.14721,0.165083,-0.0162266,-0.0243393
5,5,0.131409,0.167615,0.0136285,0.0204422
5,5,0.157177,0.141927,-0.0101923,-0.015288
5,5,0.147974,0.106452,0.0134554,0.0201826
5,5,0.141384,0.103239,0.0297939,0.0446897
